NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
256,E2944100027111,小名集会所,奈良県吉野町小名152,1,,,34.42302544108,135.95288821789,
257,E2944100028111,殿川多目的集会場,奈良県吉野町小名952,1,,,34.41614929389,135.95354740621,
258,E2944100029111,吉野町中央公民館,奈良県吉野町上市133,1,,,34.39596159335,135.8571618531,
259,E2944100030111,尾仁山憩の家,奈良県吉野町上市2067-4,1,,,34.39518798741,135.84627366497,
260,E2944100031111,吉野小学校,奈良県吉野町上市2298,1,,,34.392611953242,135.85053432503,
261,E2944100032111,上ノ町集会所,奈良県吉野町上市28-1,1,,,34.398882680593,135.85949574611,
262,E2944100033111,本町老人憩の家,奈良県吉野町上市338,1,,,34.396074405329,135.85489480983,
263,E2944100034111,色生生活改善センター,奈良県吉野町色生290-1,1,,,34.411097942486,135.93190541667,
264,E2944100035111,国栖中央公民館（国栖の里総合センター）,奈良県吉野町新子281,1,,,34.387204462531,135.92642077361,
265,E2944100036111,新子清水ふれあいセンター,奈良県吉野町新子355,1,,,34.386041306649,135.9281634516,
266,E2944100037111,西谷農事集会所,奈良県吉野町西谷767,1,,,34.413618859767,135.88125572818,
267,E2944100038111,千股生活改善センター,奈良県吉野町千股354-1,1,,,34.411908355977,135.86040269909,
268,E2944100041111,丹治公民館,奈良県吉野町丹治955,1,,,34.389221475937,135.85008589446,
269,E2944100042111,楢井老人憩の家,奈良県吉野町楢井388,1,,,34.385699393194,135.88184618256,
270,E2944100043111,吉野町老人福祉センター,奈良県吉野町楢井587,1,,,34.383224284023,135.88659575449,
271,E2944100044111,南国栖自治会館,奈良県吉野町南国栖415,1,,,34.379488494554,135.9281212258,
272,E2944100045111,南大野八坂会館,奈良県吉野町南大野224-2,1,,,34.38877392667,135.92031131424,
273,E2944100046111,入野生活改善センター,奈良県吉野町入野746-2,1,,,34.39875896784,135.9244066364,
274,E2944100047111,藤田公民館,奈良県吉野町飯貝1098-1,1,,,34.38443731223,135.86793044652,
275,E2944100048111,よしのこども園,奈良県吉野町飯貝465-1,1,,,34.392437908651,135.85552588841,
276,E2944100049111,飯貝老人憩の家,奈良県吉野町飯貝578-3,1,,,34.39383608692,135.85826949704,
277,E2944100050111,平尾研修会館,奈良県吉野町平尾359-1,1,,,34.410573504481,135.88876263003,
278,E2944100051111,吉野北小学校,奈良県吉野町平尾87,1,,,34.411124531631,135.88454189737,
279,E2944100052111,峰寺多目的集会所,奈良県吉野町峰寺23,1,,,34.404573788799,135.87841677619,
280,E2944100053111,柳児童館,奈良県吉野町柳1390-1,1,,,34.418558141577,135.91936416004,
281,E2944100054111,中竜門ふれあいセンター,奈良県吉野町柳1635-1,1,,,34.419328947932,135.92775989573,
282,E2944100055111,田尻金照会館,奈良県吉野町柳267-1,1,,,34.417114667152,135.9151007874,
283,E2944100056111,わかばこども園,奈良県吉野町柳542,1,,,34.418671419906,135.91910533676,
284,E2944100057111,別所ふれあいセンター,奈良県吉野町柳739,1,,,34.426713709242,135.92094368576,
285,E2944100058111,立野集会所,奈良県吉野町立野164-2,1,,,34.396053957333,135.86612167355,
286,E2944100059111,六田老人憩の家,奈良県吉野町六田1218,1,,,34.389246938332,135.83015212718,
287,E2920700003111,岡口コミニュティセンター,奈良県五條市岡口1-9-18,,,,34.356278501956,135.69821266149,
288,E2920700004111,五條高等学校,奈良県五條市岡町1428,1,,,34.369653433852,135.69413641696,
289,E2920700005111,宇智体育館,奈良県五條市岡町989,1,,,34.362482719871,135.69914597669,
290,E2920700006111,五條中学校,奈良県五條市下之町50,1,,,34.352915366956,135.6894707298,
291,E2920700007111,旧北宇智小学校,奈良県五條市近内町1158,1,,,34.389192988122,135.70479568786,
